ID,smiles,ref_drug,ref_target,similarity,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Known_Target_Genes,Active_Targets
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,Aramchol,SCD1,0.0811,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,Denifanstat (TVB-2640),FASN,0.08,GPAM,0.4006,活性,低毒性,PPARG,5468
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,Resmetirom,THR-beta,0.0784,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,Cilofexor (GS-9674),FXR,0.0776,THRB,0.3413,活性,低毒性,NR1H4,9971
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,Obeticholic acid (OCA),FXR,0.0769,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,Aramchol,SCD1,0.0769,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0769,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,Denifanstat (TVB-2640),FASN,0.0769,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,Cilofexor (GS-9674),FXR,0.0755,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,VK2809,THR-beta,0.0755,PPARG,0.4219,活性,低毒性,FASN,2194
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,Obeticholic acid (OCA),FXR,0.075,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0748,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Denifanstat (TVB-2640),FASN,0.0741,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,BI-1467335,AOC3/VAP-1,0.0732,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Firsocostat (GS-0976),ACC,0.0726,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,Resmetirom,THR-beta,0.0723,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,Denifanstat (TVB-2640),FASN,0.0722,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Firsocostat (GS-0976),ACC,0.0709,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,Aramchol,SCD1,0.0708,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,Obeticholic acid (OCA),FXR,0.0706,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,Obeticholic acid (OCA),FXR,0.07,RXRB,0.354,活性,低毒性,NR1H4,9971
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0698,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0698,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,BI-1467335,AOC3/VAP-1,0.0698,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Obeticholic acid (OCA),FXR,0.0693,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0693,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Obeticholic acid (OCA),FXR,0.0693,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,Resmetirom,THR-beta,0.0693,THRB,0.3413,活性,低毒性,NR1H4,9971
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,VK2809,THR-beta,0.068,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],BI-1467335,AOC3/VAP-1,0.0674,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,Obeticholic acid (OCA),FXR,0.0674,PPARG,0.2467,活性,低毒性,PPARG,5468
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Resmetirom,THR-beta,0.0673,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0673,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Resmetirom,THR-beta,0.0673,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,Aramchol,SCD1,0.0667,PPARG,0.4219,活性,低毒性,FASN,2194
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,BI-1467335,AOC3/VAP-1,0.0667,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,Denifanstat (TVB-2640),FASN,0.0667,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,Aramchol,SCD1,0.066,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,Aramchol,SCD1,0.0648,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,Obeticholic acid (OCA),FXR,0.0645,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],BI-1467335,AOC3/VAP-1,0.0645,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,Denifanstat (TVB-2640),FASN,0.0645,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,Aramchol,SCD1,0.0642,PPARG,0.3604,活性,低毒性,PPARD,5467
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,Aramchol,SCD1,0.0638,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Aramchol,SCD1,0.0638,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,Resmetirom,THR-beta,0.0632,PPARG,0.4219,活性,低毒性,FASN,2194
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,Obeticholic acid (OCA),FXR,0.0625,PPARG,0.3604,活性,低毒性,PPARD,5467
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,Aramchol,SCD1,0.0625,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Obeticholic acid (OCA),FXR,0.0617,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,Firsocostat (GS-0976),ACC,0.0614,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,Aramchol,SCD1,0.0614,RXRB,0.354,活性,低毒性,NR1H4,9971
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Aramchol,SCD1,0.0609,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Aramchol,SCD1,0.0609,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,Resmetirom,THR-beta,0.0606,PPARG,0.3604,活性,低毒性,PPARD,5467
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,Aramchol,SCD1,0.0606,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,Aramchol,SCD1,0.0588,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,Aramchol,SCD1,0.0588,RXRA,0.2966,活性,低毒性,PPARG,5468
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,Aramchol,SCD1,0.0583,PPARG,0.2467,活性,低毒性,PPARG,5468
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,Resmetirom,THR-beta,0.0583,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0571,THRB,0.3413,活性,低毒性,NR1H4,9971
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,Obeticholic acid (OCA),FXR,0.0562,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,BI-1467335,AOC3/VAP-1,0.0556,THRB,0.3413,活性,低毒性,NR1H4,9971
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,Resmetirom,THR-beta,0.0521,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,Aramchol,SCD1,0.051,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,Resmetirom,THR-beta,0.05,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,Obeticholic acid (OCA),FXR,0.049,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Aramchol,SCD1,0.0485,PPARG,0.3794,活性,低毒性,ACACA,47;31
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,Obeticholic acid (OCA),FXR,0.0471,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,Obeticholic acid (OCA),FXR,0.0444,RXRA,0.2966,活性,低毒性,PPARG,5468
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Obeticholic acid (OCA),FXR,0.0444,PPARG,0.3794,活性,低毒性,ACACA,47;31
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,Obeticholic acid (OCA),FXR,0.043,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,Resmetirom,THR-beta,0.0396,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Resmetirom,THR-beta,0.0385,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Resmetirom,THR-beta,0.0381,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,Aramchol,SCD1,0.0374,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,BI-1467335,AOC3/VAP-1,0.037,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Resmetirom,THR-beta,0.037,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,Resmetirom,THR-beta,0.0319,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0204,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
